rows 100 benchmark complete after 2.503952021s
Step,Records Sent,Indexed PRSS,Sequential PRSS
protocol/run-0/accumulate_credit/depth0/current_stop_bit_times_successor_credit,297,297,0
protocol/run-0/accumulate_credit/depth0/current_stop_bit_times_successor_stop_bit,294,294,0
protocol/run-0/accumulate_credit/depth1/current_stop_bit_times_successor_credit,294,294,0
protocol/run-0/accumulate_credit/depth1/current_stop_bit_times_successor_stop_bit,288,288,0
protocol/run-0/accumulate_credit/depth2/current_stop_bit_times_successor_credit,288,288,0
protocol/run-0/accumulate_credit/depth2/current_stop_bit_times_successor_stop_bit,276,276,0
protocol/run-0/accumulate_credit/depth3/current_stop_bit_times_successor_credit,276,276,0
protocol/run-0/accumulate_credit/depth3/current_stop_bit_times_successor_stop_bit,252,252,0
protocol/run-0/accumulate_credit/depth4/current_stop_bit_times_successor_credit,252,252,0
protocol/run-0/accumulate_credit/depth4/current_stop_bit_times_successor_stop_bit,204,204,0
protocol/run-0/accumulate_credit/depth5/current_stop_bit_times_successor_credit,204,204,0
protocol/run-0/accumulate_credit/depth5/current_stop_bit_times_successor_stop_bit,108,108,0
protocol/run-0/accumulate_credit/depth6/current_stop_bit_times_successor_credit,108,108,0
protocol/run-0/accumulate_credit/memoize_is_trigger_bit_times_helper_bit,297,297,0
protocol/run-0/aggregate_credit/depth0/current_stop_bit_times_successor_credit,309,309,0
protocol/run-0/aggregate_credit/depth0/current_stop_bit_times_successor_stop_bit,306,306,0
protocol/run-0/aggregate_credit/depth1/current_stop_bit_times_successor_credit,306,306,0
protocol/run-0/aggregate_credit/depth1/current_stop_bit_times_successor_stop_bit,300,300,0
protocol/run-0/aggregate_credit/depth2/current_stop_bit_times_successor_credit,300,300,0
protocol/run-0/aggregate_credit/depth2/current_stop_bit_times_successor_stop_bit,288,288,0
protocol/run-0/aggregate_credit/depth3/current_stop_bit_times_successor_credit,288,288,0
protocol/run-0/aggregate_credit/depth3/current_stop_bit_times_successor_stop_bit,264,264,0
protocol/run-0/aggregate_credit/depth4/current_stop_bit_times_successor_credit,264,264,0
protocol/run-0/aggregate_credit/depth4/current_stop_bit_times_successor_stop_bit,216,216,0
protocol/run-0/aggregate_credit/depth5/current_stop_bit_times_successor_credit,216,216,0
protocol/run-0/aggregate_credit/depth5/current_stop_bit_times_successor_stop_bit,120,120,0
protocol/run-0/aggregate_credit/depth6/current_stop_bit_times_successor_credit,120,120,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/aggregation_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem0,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem1,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem2,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem3,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem4,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem5,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem6,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/breakdown_key/elem7,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/helper_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle1/trigger_value,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/aggregation_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem0,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem1,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem2,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem3,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem4,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem5,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem6,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/breakdown_key/elem7,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/helper_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle2/trigger_value,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/aggregation_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem0,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem1,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem2,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem3,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem4,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem5,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem6,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/breakdown_key/elem7,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/helper_bit,208,312,0
protocol/run-0/aggregate_credit/sort_by_attribution_bit/apply_permutation_on_attribution_bit/shuffle_inputs/shuffle3/trigger_value,208,312,0
